neuron_i,neuron_label,area,ramp_type,onset_ms
2717,M052118_013_4,11ml,Positive,662.0
2719,M052118_017_2,12l,Positive,647.0
2727,M052118_025_3,46v,Negative,89.0
2732,M052118_036_5,45,Negative,283.0
2739,M052118_065_4,6DR,Positive,536.0
2745,M052118_091_2,44,Positive,446.0
2751,M052118_101_3,46v,Negative,410.0
2752,M052118_104_1,6VaVb,Positive,201.0
2761,M052118_117_1,6DC,Positive,106.0
2772,M052118_152_1,6DC,Positive,47.0
2774,M052118_152_5,6DC,Positive,0.0
2775,M052118_154_2,cd,Negative,477.0
2780,M052218_005_3,11ml,Positive,541.0
2786,M052218_013_5,11ml,Positive,607.0
2794,M052218_036_3,45,Negative,43.0
2804,M052218_065_3,6DR,Positive,214.0
2806,M052218_078_1,45,Negative,0.0
2807,M052218_078_4,45,Negative,568.0
2809,M052218_080_1,46v,Positive,0.0
2811,M052218_090_3,45,Positive,598.0
2812,M052218_096_3,8B,Negative,200.0
2821,M052218_104_3,6VaVb,Positive,474.0
2843,M052218_152_6,6DC,Positive,322.0
2854,M052318_013_3,11ml,Positive,626.0
2862,M052318_025_4,46v,Positive,314.0
2863,M052318_033_4,11ml,Negative,326.0
2875,M052318_065_3,6DR,Positive,440.0
2885,M052318_090_1,45,Positive,610.0
2887,M052318_091_6,44,Positive,655.0
2888,M052318_091_7,44,Positive,276.0
2896,M052318_104_1,6VaVb,Positive,0.0
2902,M052318_113_5,6DR,Negative,395.0
2904,M052318_116_3,6DC,Positive,229.0
2906,M052318_117_1,6DC,Positive,574.0
2918,M052318_136_8,24c,Negative,0.0
2927,M052318_152_2,6DC,Positive,566.0
2928,M052318_152_4,6DC,Positive,253.0
2933,M052418_005_2,11ml,Positive,455.0
2935,M052418_006_5,11ml,Positive,298.0
2941,M052418_013_4,11ml,Positive,498.0
2943,M052418_017_3,12l,Positive,521.0
2953,M052418_061_4,13l,Positive,142.0
2954,M052418_065_2,6DR,Positive,501.0
2960,M052418_078_4,45,Negative,54.0
2962,M052418_090_2,45,Positive,597.0
2963,M052418_090_5,45,Positive,562.0
2966,M052418_091_6,44,Positive,521.0
2970,M052418_101_1,46v,Negative,277.0
2978,M052418_113_4,6DR,Positive,0.0
2986,M052418_136_1,24c,Negative,0.0
3001,M052518_005_3,11ml,Positive,604.0
3004,M052518_006_6,11ml,Positive,141.0
3009,M052518_013_1,11ml,Positive,651.0
3019,M052518_026_3,45,Positive,667.0
3028,M052518_061_4,13l,Positive,601.0
3029,M052518_065_2,6DR,Positive,532.0
3031,M052518_078_3,45,Positive,64.0
3032,M052518_090_2,45,Positive,632.0
3035,M052518_091_2,44,Positive,547.0
3037,M052518_091_7,44,Positive,500.0
3041,M052518_101_2,46v,Negative,463.0
3044,M052518_106_4,6DR,Positive,344.0
3071,M052518_147_1,6DC,Negative,0.0
3081,M052918_005_2,11ml,Positive,605.0
3082,M052918_006_3,11ml,Positive,638.0
3086,M052918_013_3,11ml,Positive,626.0
3097,M052918_036_4,45,Positive,236.0
3098,M052918_039_2,13l,Positive,437.0
3111,M052918_090_3,45,Positive,656.0
3114,M052918_101_1,46v,Negative,379.0
3137,M053018_006_4,11ml,Positive,0.0
3141,M053018_013_3,11ml,Positive,599.0
3146,M053018_033_2,11ml,Negative,392.0
3147,M053018_036_1,45,Positive,486.0
3156,M053018_078_4,45,Positive,195.0
3160,M053018_090_3,45,Positive,596.0
3165,M053018_101_3,46v,Negative,84.0
3191,M053118_005_2,11ml,Positive,584.0
3193,M053118_006_1,11ml,Positive,534.0
3199,M053118_012_3,12r,Negative,426.0
3201,M053118_013_3,11ml,Positive,679.0
3208,M053118_036_1,45,Positive,633.0
3222,M053118_090_2,45,Positive,632.0
3227,M053118_101_2,46v,Negative,0.0
3232,M053118_109_3,8B,Negative,155.0
3249,M053118_147_1,6DC,Negative,148.0
3257,M060118_007_4,11ml,Positive,569.0
3262,M060118_013_3,11ml,Positive,679.0
3271,M060118_036_3,45,Positive,435.0
3276,M060118_061_2,13l,Positive,528.0
