neuron_i,neuron_label,area,ramp_type,condition,slope,mean_fr
14934,X112520_091_4,44,Negative,long,-0.0013211742929948743,-1.6525016864901176
14935,X112520_091_6,44,Negative,short,-0.0013189619747811826,-0.6189488437826344
14935,X112520_091_6,44,Negative,medium,-0.0018242709784338238,-0.8765911789682265
14935,X112520_091_6,44,Negative,long,-0.0013824152077728574,-1.058182399701358
14940,X112520_103_3,44,Negative,short,-0.00323658815568793,-0.26944473553789833
14940,X112520_103_3,44,Negative,medium,-0.0018316992904102367,-0.7191958969999175
14940,X112520_103_3,44,Negative,long,-0.0009610558228438933,-0.9287412130892178
14953,X112520_146_2,24c,Negative,short,-0.0018484777894532465,0.49528656485560235
14953,X112520_146_2,24c,Negative,medium,-0.0014047432951517038,0.14562831030067633
14953,X112520_146_2,24c,Negative,long,-0.0011691086358519406,-0.07690931902200793
14955,X112520_147_5,24c,Negative,short,-0.0021254743311536427,0.24402475903994603
14955,X112520_147_5,24c,Negative,medium,-0.002069980225123415,0.0743097275874799
14955,X112520_147_5,24c,Negative,long,-0.0021412066576425503,-0.19916249762545687
14957,X112520_153_2,pu,Positive,short,0.0016240977165663277,-0.8480786639397434
14957,X112520_153_2,pu,Positive,medium,0.0019713776565997558,-1.0309133593383526
14957,X112520_153_2,pu,Positive,long,0.0018053437262169991,-0.2283911634255557
14961,X113020_004_3,12m,Positive,short,0.0012887021792073966,-0.7265494847406762
14961,X113020_004_3,12m,Positive,medium,0.0008427572959590318,-0.5421572720781883
14961,X113020_004_3,12m,Positive,long,0.0019790980434393458,-0.07365826905397822
14964,X113020_014_4,11ml,Negative,short,-0.004147557381444097,0.8742097092810988
14964,X113020_014_4,11ml,Negative,medium,-0.005281072078778152,0.06322188872360499
14964,X113020_014_4,11ml,Negative,long,-0.0011503410597101305,-0.8846671065430276
14967,X113020_024_3,11ml,Negative,short,-0.0007043336986116187,1.1067158622471942
14967,X113020_024_3,11ml,Negative,medium,-0.005447830858760413,0.29808463111758843
14967,X113020_024_3,11ml,Negative,long,-0.0013693850807175074,-0.8718269105226626
14969,X113020_037_2,12o,Positive,short,0.004234074003935105,0.9078258711539795
14969,X113020_037_2,12o,Positive,medium,0.005068948081469839,1.2679200788702043
14969,X113020_037_2,12o,Positive,long,0.003351161713770859,1.9164928602993785
14981,X113020_066_1,12l,Positive,short,0.0025054510800678184,0.24258210052005458
14981,X113020_066_1,12l,Positive,medium,0.0036022208491480064,1.3727184062863944
14981,X113020_066_1,12l,Positive,long,0.003070963640071885,2.19401678090881
14983,X113020_066_3,12l,Positive,short,0.002418864316597543,0.46972898500972465
14983,X113020_066_3,12l,Positive,medium,0.0026446801622913474,0.9471561078372692
14983,X113020_066_3,12l,Positive,long,0.0019475914565460061,0.9405149100921714
14984,X113020_066_6,12l,Positive,short,0.0027767329524153077,-0.27634250031934876
14984,X113020_066_6,12l,Positive,medium,0.003333481362060852,0.16414384805161922
14984,X113020_066_6,12l,Positive,long,0.005413991002430105,0.8723220057153459
14987,X113020_077_7,12l,Positive,short,0.0022881777066657907,0.2635767345755251
14987,X113020_077_7,12l,Positive,medium,0.0010618656636421447,0.3131551402593853
14987,X113020_077_7,12l,Positive,long,-6.168884288382132e-05,0.14324547185502093
14990,X113020_085_1,cd,Positive,short,0.002768480844947915,0.07634603009116023
14990,X113020_085_1,cd,Positive,medium,0.001953905917501116,0.3787365094960021
14990,X113020_085_1,cd,Positive,long,0.002224562090210689,0.9433601441825685
14991,X113020_085_2,cd,Positive,short,0.0061652489420789885,-0.8528133616757544
14991,X113020_085_2,cd,Positive,medium,0.0027886164807785774,-1.008879850775053
14991,X113020_085_2,cd,Positive,long,0.00354137055109736,-0.11797422175287903
14993,X113020_098_3,cd,Negative,short,-0.0007269457707625468,-0.3961530438253963
14993,X113020_098_3,cd,Negative,medium,-0.00036371412112464597,-0.6263684097324156
14993,X113020_098_3,cd,Negative,long,-0.00026209522700123997,-0.6019708841989521
14999,X113020_108_5,6DC,Negative,short,-0.0008268360574123073,-0.10615918485946743
14999,X113020_108_5,6DC,Negative,medium,4.8149994094998054e-05,-0.04164571633114799
14999,X113020_108_5,6DC,Negative,long,-0.000676573405922976,-0.02533970469913794
15007,X113020_145_6,cd,Positive,short,0.0033844388955085714,0.07628829998371754
15007,X113020_145_6,cd,Positive,medium,0.004326556064043096,-0.24381105092581914
15007,X113020_145_6,cd,Positive,long,0.006070635355573568,0.5014604456480996
15014,X120120_004_3,12m,Positive,short,0.0010818498079133922,-0.8261560010979457
15014,X120120_004_3,12m,Positive,medium,0.002352652293701274,-0.318323417360617
15014,X120120_004_3,12m,Positive,long,0.0013490492084401436,0.13199296217417955
15015,X120120_004_4,12m,Positive,short,0.0004659761727851627,-0.8355196515057924
15015,X120120_004_4,12m,Positive,medium,0.0013006014512075763,-0.8512512207551923
15015,X120120_004_4,12m,Positive,long,0.0011017556196398443,-0.5815662118217314
15018,X120120_014_2,11ml,Positive,short,0.0010000725478384793,-0.6922816806744022
15018,X120120_014_2,11ml,Positive,medium,0.00153388855347964,-0.3839668383160629
15018,X120120_014_2,11ml,Positive,long,0.0022572081417922166,-0.00012989513523343598
15019,X120120_014_6,11ml,Negative,short,-0.003743663628191886,0.5836604909286424
15019,X120120_014_6,11ml,Negative,medium,-0.003860944442546974,-0.2728543298159371
15019,X120120_014_6,11ml,Negative,long,-0.001285945305012379,-0.8264671562413085
15021,X120120_020_5,12m,Positive,short,0.001099235410302668,0.02751651922893244
15021,X120120_020_5,12m,Positive,medium,0.003255073355934626,0.5120531224371391
15021,X120120_020_5,12m,Positive,long,0.004324409333247699,0.5190625277254111
15023,X120120_031_2,13l,Positive,short,0.0024664321777016257,-0.5774831870719349
15023,X120120_031_2,13l,Positive,medium,0.003091699194301357,-0.09858040095844652
15023,X120120_031_2,13l,Positive,long,0.0024857512434932594,0.051515582498951745
15040,X120120_067_2,12o,Positive,short,0.0029420341477920664,0.20107388128634981
15040,X120120_067_2,12o,Positive,medium,0.002916348301821386,0.9630139996599834
15040,X120120_067_2,12o,Positive,long,0.002231673363641566,1.4657559898649397
15041,X120120_077_3,12l,Positive,short,0.0022679896148118067,-0.9058584587636114
15041,X120120_077_3,12l,Positive,medium,0.0026179702621223467,-0.8346698406602205
15041,X120120_077_3,12l,Positive,long,0.002971195927415703,-0.33394419409538967
15050,X120120_104_3,45,Positive,short,0.0035551836801387534,-0.2068731793712479
15050,X120120_104_3,45,Positive,medium,0.002585135040800349,-0.19146970882329983
15050,X120120_104_3,45,Positive,long,0.0023859856557458827,-0.0009403725520263313
15055,X120120_135_2,cd,Negative,short,-0.0008037465118497507,0.8392515529362413
15055,X120120_135_2,cd,Negative,medium,-0.0023768563018364184,0.84993796777631
15055,X120120_135_2,cd,Negative,long,-0.0028061476383296436,0.27068083402698784
15056,X120120_139_3,AMG,Positive,short,0.0014478320982313493,-0.8876700413486178
15056,X120120_139_3,AMG,Positive,medium,0.0028104534019139774,0.3664693298130552
15056,X120120_139_3,AMG,Positive,long,0.0021934180927613784,0.8061900908214981
15058,X120120_142_1,AMG,Negative,short,-0.002061079228535704,0.4533973017850032
15058,X120120_142_1,AMG,Negative,medium,-0.0027089388834601754,0.2772427168085911
15058,X120120_142_1,AMG,Negative,long,-0.0015364775235834,0.12029312689247822
15062,X120219_006_4,46d,Positive,short,0.0009349091997066351,-0.18231246943725815
15062,X120219_006_4,46d,Positive,medium,0.0003770257778418538,-0.1851340008973128
15062,X120219_006_4,46d,Positive,long,0.0016980984200788603,-0.05175156023519148
15071,X120219_113_1,6DR,Negative,short,-0.0008624066191601559,0.6155206869029364
15071,X120219_113_1,6DR,Negative,medium,-0.000616331039552722,0.3282057573513659
15071,X120219_113_1,6DR,Negative,long,-0.00033136987464513147,-0.2651064547742275
15085,X120220_004_6,12m,Positive,short,0.0016425401497246628,-0.6877478375322842
15085,X120220_004_6,12m,Positive,medium,0.0016774455392622389,-0.36712709392425596
15085,X120220_004_6,12m,Positive,long,0.001237560877144088,-0.16729468541756776
15087,X120220_014_5,11ml,Negative,short,-0.0037518388859128222,0.29423941276346127
15087,X120220_014_5,11ml,Negative,medium,-0.004279117716048903,-0.18861609986191383
15087,X120220_014_5,11ml,Negative,long,-0.001981571629000139,-0.6838760719497887
15088,X120220_016_1,11ml,Positive,short,0.0024215857060307295,1.45875354207891
15088,X120220_016_1,11ml,Positive,medium,0.0004331437403796935,1.2780887356613717
15088,X120220_016_1,11ml,Positive,long,2.7671176272474658e-05,0.8279969772562608
15089,X120220_016_8,11ml,Negative,short,-4.685449225613148e-05,0.5329091245404982
15089,X120220_016_8,11ml,Negative,medium,-0.001093204097039046,0.9159667224349367
15089,X120220_016_8,11ml,Negative,long,-0.00537150631140794,0.33815358403431695
15093,X120220_029_3,12m,Positive,short,0.0025909589466975675,0.39039013841783726
15093,X120220_029_3,12m,Positive,medium,0.0024937184020228597,0.07048192482520887
15093,X120220_029_3,12m,Positive,long,0.0033101839581479845,0.4741001966132003
15094,X120220_031_4,13l,Positive,short,0.003344430564369546,-0.2766242994308571
15094,X120220_031_4,13l,Positive,medium,0.0027168110005969972,-0.25382585392431195
15094,X120220_031_4,13l,Positive,long,0.002320883619268787,-0.09449801995855184
15102,X120220_042_7,13l,Positive,short,0.004137798639205473,0.6014594150107471
15102,X120220_042_7,13l,Positive,medium,0.0032013350730974942,0.6675650033601614
15102,X120220_042_7,13l,Positive,long,0.001753241957632985,1.0263302873652707
15103,X120220_047_3,12o,Negative,short,-0.0051279428686099825,0.24422382680503976
15103,X120220_047_3,12o,Negative,medium,-0.0013075245618517069,0.28686871876500036
15103,X120220_047_3,12o,Negative,long,-0.002867265683658545,0.33972618705186275
15109,X120220_061_4,AI,Negative,short,-0.0016336619064309266,-0.28519315186294475
15109,X120220_061_4,AI,Negative,medium,-0.0018567156467416853,-0.5362942633815667
15109,X120220_061_4,AI,Negative,long,-0.0016044397397809438,-1.1281367687759503
15114,X120220_066_4,12l,Positive,short,0.0021372106808850936,-0.005600004108030327
15114,X120220_066_4,12l,Positive,medium,0.003064977783677796,0.7034939109654198
15114,X120220_066_4,12l,Positive,long,0.005651070187129174,1.4718433584314392
15122,X120220_093_2,44,Positive,short,0.0014870449816141613,0.45430699893127746
15122,X120220_093_2,44,Positive,medium,0.002239604449678217,1.1959595154109295
15122,X120220_093_2,44,Positive,long,0.0035071587928094624,2.4339268986079934
15123,X120220_100_5,cd,Positive,short,0.0008155563854871841,-0.5571560264067622
15123,X120220_100_5,cd,Positive,medium,0.0014214025517683415,-0.4484544974469352
15123,X120220_100_5,cd,Positive,long,0.0020706307173337947,0.3232010393638335
15124,X120220_102_5,6VaVb,Negative,short,-0.0018312829478511336,0.6511319617037379
15124,X120220_102_5,6VaVb,Negative,medium,-0.0018654702524413301,0.13520787498633224
15124,X120220_102_5,6VaVb,Negative,long,-0.0027504128270322767,-0.019486553945304352
15126,X120220_104_2,45,Positive,short,0.002506867849782346,-0.3631230766703677
15126,X120220_104_2,45,Positive,medium,0.002374694382830422,-0.3164083917606653
15126,X120220_104_2,45,Positive,long,0.002282790407170374,-0.15803771295752098
15129,X120220_107_4,AMG,Negative,short,-0.0013071634780697893,-0.13168967606657853
15129,X120220_107_4,AMG,Negative,medium,-0.0009325367500473244,-0.33572548892538445
15129,X120220_107_4,AMG,Negative,long,-0.00026548129957472595,-0.5173896899239195
15135,X120220_127_1,AMG,Positive,short,0.0018276901082426467,0.5523194101814974
15135,X120220_127_1,AMG,Positive,medium,0.0013842934176055044,1.4664608607077956
15135,X120220_127_1,AMG,Positive,long,0.0017765442097279487,2.155259979544781
15136,X120220_138_5,AMG,Negative,short,-0.0013936006950885462,-0.37992441317704995
15136,X120220_138_5,AMG,Negative,medium,-0.0008164542407607449,-0.7966193523065818
15136,X120220_138_5,AMG,Negative,long,-4.700934839288277e-05,-0.961087023259796
15139,X120220_147_2,24c,Negative,short,-0.001525764976689858,0.3277024765670944
15139,X120220_147_2,24c,Negative,medium,-0.0014172560283947457,0.19633670894296595
15139,X120220_147_2,24c,Negative,long,-0.0007516558786625997,0.1410999169593333
15141,X120220_151_2,AMG,Negative,short,-0.0031266436381784907,0.5244494413652112
15141,X120220_151_2,AMG,Negative,medium,-0.0032177440408993454,0.09072060845156948
15141,X120220_151_2,AMG,Negative,long,-0.0033953908907896815,-0.8703119333728082
15146,X120319_066_1,8A,Negative,short,-0.00179357677433741,0.5781760343621702
15146,X120319_066_1,8A,Negative,medium,-0.0021205907626983193,-0.21010936100032807
15146,X120319_066_1,8A,Negative,long,-0.0002496968454841105,-0.9178857837560371
15147,X120319_074_1,6DR,Positive,short,0.0011991720115364347,0.38632553854039847
15147,X120319_074_1,6DR,Positive,medium,0.002702004029067848,0.5003347370020825
15147,X120319_074_1,6DR,Positive,long,0.00339917169097365,0.9688160560688874
15154,X120319_141_4,6DC,Positive,short,0.0010335398219602195,-0.23365848360780955
15154,X120319_141_4,6DC,Positive,medium,0.001346761272010495,-0.4883308734709146
15154,X120319_141_4,6DC,Positive,long,0.003726953653158099,0.20863498013448
15159,X120320_003_4,12r,Positive,short,0.002852232556866744,-0.3393384947649942
15159,X120320_003_4,12r,Positive,medium,0.0035331740667458303,0.7508613150357617
15159,X120320_003_4,12r,Positive,long,0.0022930548227097307,1.0626883761786443
15160,X120320_004_3,12m,Positive,short,0.0015394187560850573,-0.7290122117258347
15160,X120320_004_3,12m,Positive,medium,0.0025181596672111243,-0.26263638905337866
15160,X120320_004_3,12m,Positive,long,0.0025553409097392385,0.15214939822252324
15163,X120320_024_3,11ml,Positive,short,0.0025022982854211017,0.08385658862103437
15163,X120320_024_3,11ml,Positive,medium,0.002505221849804383,-0.003776506145411913
15163,X120320_024_3,11ml,Positive,long,0.002101877423186514,0.3430318448604619
15165,X120320_030_1,13l,Negative,short,-0.0012187900798493443,0.3914300924276092
15165,X120320_030_1,13l,Negative,medium,-0.0016663876810383907,0.14161074540247373
15165,X120320_030_1,13l,Negative,long,-0.001439897651608965,-0.0706122624685308
15172,X120320_048_3,12o,Positive,short,0.0024827855167218263,0.14487621253753913
15172,X120320_048_3,12o,Positive,medium,0.0020569392781367335,0.2202129807468882
15172,X120320_048_3,12o,Positive,long,0.001967077328247886,0.7123729820485644
15178,X120320_056_4,12l,Positive,short,0.0015323203620412828,-0.8400865191727034
15178,X120320_056_4,12l,Positive,medium,0.0032605267112879002,0.4252737354531345
15178,X120320_056_4,12l,Positive,long,0.003716923857183531,2.0238366124534766
15186,X120320_066_4,12l,Positive,short,0.0023826221923348165,-0.27510915962536003
15186,X120320_066_4,12l,Positive,medium,0.0046200041368869415,0.5859282034342356
15186,X120320_066_4,12l,Positive,long,0.00645462127478279,1.6997089549254458
15191,X120320_086_2,8B,Negative,short,-0.0025227680372970893,0.48281533204169386
15191,X120320_086_2,8B,Negative,medium,-0.0021883617665704397,0.05833608001089359
15191,X120320_086_2,8B,Negative,long,0.0002600148591424022,-0.0753164759788859
15198,X120320_093_1,44,Positive,short,0.0031718908077793613,1.0923578038675317
15198,X120320_093_1,44,Positive,medium,0.0012369170319301841,1.8088643818647414
15198,X120320_093_1,44,Positive,long,-0.00023825447041837122,2.0273395385996076
15200,X120320_093_5,44,Positive,short,0.0042092544856395814,1.1601372214152164
15200,X120320_093_5,44,Positive,medium,0.002361416959307089,1.7445795656043956
15200,X120320_093_5,44,Positive,long,0.0005992051195829063,1.7300982483214824
15202,X120320_102_5,6VaVb,Negative,short,-0.0010408566950070998,0.5577096180144245
15202,X120320_102_5,6VaVb,Negative,medium,-0.0018585697733036035,0.3318331438815899
15202,X120320_102_5,6VaVb,Negative,long,-0.0006158272229002961,0.6689035145197058
15205,X120320_107_4,AMG,Negative,short,-0.0012809595290553084,-0.05100361567454338
15205,X120320_107_4,AMG,Negative,medium,-0.0010064714621366199,-0.34224453068860555
15205,X120320_107_4,AMG,Negative,long,-3.611016599921968e-05,-0.4476462209383382
15212,X120320_151_3,AMG,Negative,short,-0.0029336502563094852,0.6025779291126846
15212,X120320_151_3,AMG,Negative,medium,-0.0033691632810778963,0.12322021067179678
15212,X120320_151_3,AMG,Negative,long,-0.003487025349065896,-0.4732575297523011
15224,X120419_076_2,6DR,Positive,short,0.001126548575152746,-0.7969171421698444
15224,X120419_076_2,6DR,Positive,medium,0.0011195091363533638,-0.697242157828193
15224,X120419_076_2,6DR,Positive,long,0.001225983250448953,-0.6031970685958465
15227,X120419_090_1,8A,Positive,short,0.002603268818241783,0.5795796263812186
